date,previous_count,current_count,difference
2025-01-12,10,10,0
2025-01-13,10,812,802
2025-01-14,812,2000,1188
2025-01-15,2000,2675,675
2025-01-16,2675,3105,430
2025-01-17,3105,3647,542
2025-01-18,3647,3851,204
2025-01-19,3851,4295,444
2025-01-20,4295,4533,238
2025-01-21,4533,4571,38
2025-01-22,4571,4577,6
2025-01-23,4577,6663,2086
2025-01-24,6663,6649,-14
2025-01-25,6649,6682,33
2025-01-26,6682,6242,-440
2025-01-27,6242,6670,428
2025-01-28,6670,8758,2088
2025-01-29,8758,9796,1038
2025-01-30,9796,11091,1295
2025-01-31,11091,11096,5
